GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
orders service,com.Practice.order_service,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
orders service,com.Practice.order_service.server.api,OrdersApi.new OrdersApiDelegate() {...},6,0,0,0,1,0,1,0,1,0
orders service,com.Practice.order_service.server.api,ApiUtil,25,0,0,0,6,0,2,0,2,0
orders service,com.Practice.order_service.server.api,OrdersApiController,3,13,0,0,1,3,1,1,1,1
orders service,com.Practice.order_service.server.api,OrdersApiDelegate,240,0,24,0,55,0,19,0,7,0
orders service,com.Practice.order_service.server.api,OrdersApi,41,0,0,0,7,0,7,0,7,0
orders service,com.Practice.order_service.server.api,OrdersApiController.new OrdersApiDelegate() {...},0,6,0,0,0,1,0,1,0,1
orders service,com.Practice.order_service.service,OrderService,163,6,0,0,38,3,10,1,10,1
orders service,com.Practice.order_service.server.model,Response,164,0,14,0,40,0,22,0,15,0
orders service,com.Practice.order_service.server.model,OrderDTO,238,0,18,0,56,0,30,0,21,0
orders service,com.Practice.order_service.exception,OrderAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
orders service,com.Practice.order_service.exception,OrderNotFoundException,4,0,0,0,2,0,1,0,1,0
orders service,com.Practice.order_service.exception,GlobalExceptionHandler,35,3,0,0,10,1,2,1,2,1
orders service,com.Practice.order_service.api,OrdersApiImpl,177,10,0,0,46,4,16,2,16,2
